collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,ste36b,sfw,1,1,19572.0,0.0,15852,0.23467070401211204,19056.72767786609,7.939261213376426,8.246211251235321,1.749749812726828,0.08763861656188965,0.0,317.0,317.0,317.0,False,0.0
qaplib,ste36b,tos,1,1,19560.0,0.0,15852,0.23391370174110523,18731.608175740206,6.838012314029603,8.246211251235321,3.6252775805694055,0.5401694774627686,0.0,6070.0,6070.0,6070.0,False,1.2187161790327416e-05
qaplib,bur26b,sfw,1,1,4012266.0,0.0,3817852,0.05092235110213806,3966275.0041800244,6.095188492618189,7.211102550927978,3.5632180887548834,0.0009336471557617188,0.0,6.0,6.0,6.0,False,0.0
qaplib,bur26b,tos,1,1,3947370.0,0.0,3817852,0.03392431136670568,4001005.9470502776,5.2508859266284365,6.928203230275509,4.432409363438833,7.095241069793701,0.0,100000.0,100000.0,100000.0,True,5.062925092069139e-06
qaplib,nug17,sfw,1,1,1734.0,0.0,1732,0.0011547344110854503,1718.3536892433376,5.341832747232472,5.830951894845301,1.395971941167789,0.03750753402709961,0.0,326.0,326.0,326.0,False,0.0
qaplib,nug17,tos,1,1,1750.0,0.0,1732,0.010392609699769052,1713.035805397478,4.801623169576208,5.477225575051661,2.1187782571107214,0.27699804306030273,0.0,4583.0,4583.0,4583.0,False,2.9120692635286236e-05
qaplib,tai25a,sfw,1,1,1209648.0,0.0,1167256,0.03631765439629353,1187301.9077992053,6.499470696684035,6.928203230275509,2.033238091207176,0.04193377494812012,0.0,269.0,269.0,269.0,False,0.0
qaplib,tai25a,tos,1,1,1183338.0,0.0,1167256,0.013777611766399144,1176621.1486347828,6.465778463001142,6.782329983125268,1.407516836526341,0.286651611328125,0.0,4188.0,4188.0,4188.0,False,1.2259380847309006e-06
qaplib,wil100,sfw,1,1,274960.0,0.0,273038,0.007039313209150374,274693.9936242184,12.94867516589171,14.142135623730951,4.372435509862914,0.407501220703125,0.0,80.0,80.0,80.0,False,0.0
qaplib,wil100,tos,1,1,274658.0,0.0,273038,0.005933240061822897,275175.0564201965,10.650260726343456,14.071247279470288,8.354674187503512,3.3612542152404785,0.0,5708.0,5708.0,5708.0,False,6.305745473616809e-06
qaplib,lipa70a,sfw,1,1,172420.0,0.0,169755,0.015699095755647846,170490.39247602085,8.708956657821208,11.832159566199232,7.122135987661132,0.0810079574584961,0.0,42.0,42.0,42.0,False,0.0
qaplib,lipa70a,tos,1,1,172508.0,0.0,169755,0.016217489911931903,170277.79686481773,8.812918184813086,11.489125293076057,6.812942579510277,49.26556396484375,0.0,100000.0,100000.0,100000.0,True,2.348753824551796e-07
qaplib,tai80a,sfw,1,1,13830332.0,0.0,13499184,0.024530964241986773,13806860.701954102,12.180890814576584,12.489995996796797,2.2583686403972836,0.09434056282043457,0.0,74.0,74.0,74.0,False,0.0
qaplib,tai80a,tos,1,1,13915004.0,0.0,13499184,0.03080334337245866,13908623.279548567,11.63119631135843,12.569805089976535,3.756751813020475,5.763217210769653,0.0,10940.0,10940.0,10940.0,False,8.971791665098386e-06
qaplib,chr15c,sfw,1,1,22368.0,0.0,9504,1.3535353535353536,17405.562575132546,4.954870982065527,5.0990195135927845,1.4135585952523853,0.22156047821044922,0.0,1786.0,1786.0,1786.0,False,0.0
qaplib,chr15c,tos,1,1,14186.0,0.0,9504,0.49263468013468015,11933.62242354552,4.651388595604451,5.0990195135927845,1.651303984396618,0.21624493598937988,0.0,3165.0,3165.0,3165.0,False,4.99895814601185e-05
qaplib,nug14,sfw,1,1,1052.0,0.0,1014,0.03747534516765286,1032.6869444950737,4.884733271123837,5.291502622129181,1.5229200994780125,0.045363426208496094,0.0,403.0,403.0,403.0,False,0.0
